 http://www5.statcan.gc.ca/cansim/a47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 206-0011 Market income, government transfers, total income, income tax and after-tax income, by economic family type, Canada, provinces and selected census metropolitan areas (CMAs), annual(1,2,3,12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey of Consumer Finances - 3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey of Labour and Income Dynamics - 3889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Income Survey - 5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income concept,Average market income (2015 constant dollars),Average market income (2015 constant dollars),Average market income (2015 constant dollars),Median market income (2015 constant dollars),Median market income (2015 constant dollars),Median market income (2015 constant dollars),Average government transfers (2015 constant dollars),Average government transfers (2015 constant dollars),Average government transfers (2015 constant dollars),Median government transfers (2015 constant dollars),Median government transfers (2015 constant dollars),Median government transfers (2015 constant dollars),Average total income (2015 constant dollars),Average total income (2015 constant dollars),Average total income (2015 constant dollars),Median total income (2015 constant dollars),Median total income (2015 constant dollars),Median total income (2015 constant dollars),Average income tax (2015 constant dollars),Average income tax (2015 constant dollars),Average income tax (2015 constant dollars),Median income tax (2015 constant dollars),Median income tax (2015 constant dollars),Median income tax (2015 constant dollars),Average after-tax income (2015 constant dollars),Average after-tax income (2015 constant dollars),Average after-tax income (2015 constant dollars),Median after-tax income (2015 constant dollars),Median after-tax income (2015 constant dollars),Median after-tax income (2015 constant dollars)
Economic family type,Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9),Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9),Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9),Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9),Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9),Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9),Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9),Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9),Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9),Economic families and persons not in an economic family,Non-elderly families (7),Persons not in an economic family (9)
1976,61500,78100,27800,54100,70600,21600,5500,4600,3900,2200,2200,0,66900,82800,31700,58300,74300,24700,10400,13600,4000,6400,10200,700,56600,69200,27700,50600,63200,23200
1977,59300,75800,27400,54200,71000,20500,5700,4900,4100,2400,2200,0,65000,80600,31500,58600,74900,24500,9400,12200,4300,6400,9800,600,55600,68400,27200,51500,64400,22900
1978,60300,77000,28000,54100,70900,20700,5800,4900,4300,2400,2100,0,66000,81800,32300,58800,74900,25400,9500,12300,4300,6100,9600,600,56500,69500,28100,51500,64600,23600
1979,60600,77900,29100,54400,72400,23400,5300,4100,4100,1700,1500,0,66000,82100,33200,58600,75700,26600,10000,13000,4800,6900,10600,1600,56000,69100,28400,51000,64600,24300
1980,61500,78800,28500,55300,73400,21500,5800,4600,4600,2500,2300,600,67300,83400,33100,60200,76800,25600,10300,13300,4700,7100,10800,1500,57000,70100,28400,52200,65400,23600
1981,60700,77900,29900,53900,72100,23000,5900,4500,4900,2400,2100,600,66600,82400,34800,58700,75700,27200,10200,13200,5100,7100,10700,1800,56400,69200,29700,50900,64500,24700
1982,58100,74000,29400,50400,67900,21600,6900,5800,5300,3300,2900,900,65100,79800,34600,56500,73000,26400,10100,12900,5300,6600,10000,1900,55000,66900,29300,49300,62100,23900
1983,56400,73200,27000,48100,66000,17400,7100,5900,5700,3300,2800,2100,63600,79000,32700,54500,71500,23700,10100,13100,5000,6200,9900,1300,53500,65900,27700,47500,60700,21600
1984,56400,73000,27300,48600,66900,18800,7300,6000,5800,3200,2600,1200,63700,79000,33000,54800,72200,25100,10100,13000,4900,6400,10100,1600,53700,65900,28100,48000,61300,23000
