Date,averageincome,medianincome,invpopamountx1k, inv_avg_income, inv_med_income, ret_Avg_income, ret_Med_income,gtranspopamountx1k,gtransavgincome,gtransmedincome
1976,36300,32600,718,7700,1800,9400,7000,895,8900,8800
1977,36900,33900,811,5500,1700,10300,7300,1009,8700,8300
1978,37400,33200,846,6500,2200,10900,7300,1058,9000,8600
1979,37300,34800,981,6700,2100,11000,6800,1044,9200,9700
1980,36600,33400,1041,7500,2500,9200,5900,1510,7400,7600
1981,38900,36000,1160,7400,2600,10900,7300,1631,7600,7900
1982,37200,34300,1202,8400,2300,10400,6900,1698,8100,8300
1983,36000,30500,1072,7000,2200,10500,7300,1673,9100,10000
1984,36000,32100,1128,6700,2100,11600,8200,1772,8900,9600
1985,36600,31700,1133,7700,2200,11800,7500,1867,8800,9400
1986,36400,32300,1124,7100,2300,11300,7600,1831,9200,10200
1987,37300,33300,1113,6500,1900,13900,8800,2249,8100,7700
1988,38100,34200,1173,6900,2000,13100,9600,2281,8600,8900
1989,38800,34900,1289,7700,2100,13000,8600,2359,8600,8900
1990,37300,32300,1383,8000,2300,12600,8300,2831,8000,7500
1991,35700,30800,1292,6800,2100,13500,9000,2898,8600,8300
1992,35300,29100,1234,6700,1800,14400,10200,2997,8800,8700
1993,36300,30900,1183,6400,1600,14000,9200,2994,9100,9300
1994,35600,29500,1085,6000,1700,15500,10100,3100,9200,9200
1995,36000,30600,1192,6100,1500,15000,10100,3195,8500,7600
1996,35300,29500,1231,6200,1600,15000,10100,3296,8500,8100
1997,36000,29300,1141,5300,1300,16100,11000,3291,8700,8400
1998,36400,30300,1312,5100,1000,16100,11100,3327,8500,8200
1999,39600,31000,1398,4700,1000,16000,10900,3331,8100,6900
2000,38800,32000,1456,4300,1000,16300,11100,3447,7900,6400
2001,38800,32100,1434,5300,1000,17500,11400,3509,8100,6600
2002,39500,32600,1468,4800,900,18800,12200,3455,8500,8100
2003,39100,31400,1476,5400,900,19500,12600,3522,8200,7000
2004,39100,30800,1495,4400,700,19200,13200,3601,8100,6900
2005,40000,31700,1569,5000,700,19500,12800,3609,7900,6400
2006,40000,32200,1589,4800,800,19000,12700,3806,7600,4000
2007,40800,32000,1677,4800,900,19900,13700,3760,8000,6500
2008,41400,34600,1741,4700,900,20800,14700,3961,8200,6700
2009,41300,34000,1609,5400,900,20800,14900,3947,8900,7900
2010,41600,33300,1550,4800,900,20900,15800,4348,8500,6800
2011,39200,31900,1655,5300,800,20000,14400,4442,8300,6800
2012,39500,32400,1649,5400,800,20800,15600,4232,8500,7300
2013,41500,33800,1749,6400,700,22000,15500,4231,8800,7500
2014,41000,33000,1741,6200,900,22600,18000,4349,8600,7800
2015,41300,32200,1756,6800,900,21000,15000,4411,8800,8400
