Date,AI,MI
1976,36300,32600
1977,36900,33900
1978,37400,33200
1979,37300,34800
1980,36600,33400
1981,38900,36000
1982,37200,34300
1983,36000,30500
1984,36000,32100
1985,36600,31700
1986,36400,32300
1987,37300,33300
1988,38100,34200
1989,38800,34900
1990,37300,32300
1991,35700,30800
1992,35300,29100
1993,36300,30900
1994,35600,29500
1995,36000,30600
1996,35300,29500
1997,36000,29300
1998,36400,30300
1999,39600,31000
2000,38800,32000
2001,38800,32100
2002,39500,32600
2003,39100,31400
2004,39100,30800
2005,40000,31700
2006,40000,32200
2007,40800,32000
2008,41400,34600
2009,41300,34000
2010,41600,33300
2011,39200,31900
2012,39500,32400
2013,41500,33800
2014,41000,33000
2015,41300,32200
