 http://www5.statcan.gc.ca/cansim/a47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 206-0021 Income statistics by economic family type and income source, Canada, provinces and selected census metropolitan areas (CMAs), annual(1,2,3,11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey of Consumer Finances - 3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey of Labour and Income Dynamics - 3889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Income Survey - 5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Economic family type,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8)
Income source,Employment income,Employment income,Employment income,Investment income,Investment income,Investment income,Retirement income,Retirement income,Retirement income,Government transfers,Government transfers,Government transfers,Employment income,Employment income,Employment income,Investment income,Investment income,Investment income,Retirement income,Retirement income,Retirement income,Government transfers,Government transfers,Government transfers,Employment income,Employment income,Employment income,Investment income,Investment income,Investment income,Retirement income,Retirement income,Retirement income,Government transfers,Government transfers,Government transfers
Statistics,"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars)
1976,6789,67300,60700,3395,7700,1800,681,11500,7700,5697,7700,4900,5462,74900,68400,2677,7700,1800,485,12400,8100,4802,7500,3800,1328,36300,32600,718,7700,1800,196,9400,7000,895,8900,8800
1977,6912,65700,60600,4005,5900,1700,776,12100,8000,5989,7900,5400,5530,72900,68100,3194,6000,1700,574,12700,8200,4980,7700,4300,1382,36900,33900,811,5500,1700,202,10300,7300,1009,8700,8300
1978,7048,65900,60300,4042,7900,2100,803,12700,8100,6042,8100,5900,5610,73200,68100,3196,8200,2100,572,13400,8700,4984,7900,4300,1438,37400,33200,846,6500,2200,231,10900,7300,1058,9000,8600
1979,7269,65700,60100,4500,7500,2200,729,13800,8900,6080,7600,4800,5712,73400,69000,3520,7700,2200,524,14900,9700,5036,7300,3300,1557,37300,34800,981,6700,2100,205,11000,6800,1044,9200,9700
1980,7430,66100,60700,4806,8600,2700,893,13100,8300,6978,7500,4300,5840,74100,69400,3765,8900,2700,628,14700,9400,5468,7500,3700,1590,36600,33400,1041,7500,2500,265,9200,5900,1510,7400,7600
1981,7549,65600,60000,5161,8500,2800,885,12200,8100,7235,7400,4100,5926,72900,67800,4001,8800,2900,644,12800,8400,5604,7400,3500,1623,38900,36000,1160,7400,2600,241,10900,7300,1631,7600,7900
1982,7604,62300,56100,5329,8900,2600,974,13700,8700,7485,8600,5800,5921,69400,64000,4128,9100,2800,706,15000,9600,5787,8800,5000,1683,37200,34300,1202,8400,2300,268,10400,6900,1698,8100,8300
